site,Spartina alterniflora (Smooth Cordgrass)_pct,Spartina alterniflora (Smooth Cordgrass)_conf,Juncus roemerianus (Black Needle Rush)_pct,Juncus roemerianus (Black Needle Rush)_conf,Bolboschoenus robustus (Salt Marsh Bulrush)_pct,Bolboschoenus robustus (Salt Marsh Bulrush)_conf,Iva frutescens (Marsh Elder)_pct,Iva frutescens (Marsh Elder)_conf,Panicum virgatum (Switch Grass)_pct,Panicum virgatum (Switch Grass)_conf,Spartina patens (Salt Meadow Hay)_pct,Spartina patens (Salt Meadow Hay)_conf,Spartina cynosuroides (Big Cordgrass)_pct,Spartina cynosuroides (Big Cordgrass)_conf,Borrichia frutescens (Sea Oxeye)_pct,Borrichia frutescens (Sea Oxeye)_conf,Salicornia spp. (Glasswort)_pct,Salicornia spp. (Glasswort)_conf,Kosteletzkya virginica (Marsh Mallow)_pct,Kosteletzkya virginica (Marsh Mallow)_conf,Hibiscus moscheutos (Marsh Hibiscus)_pct,Hibiscus moscheutos (Marsh Hibiscus)_conf,Solidago sempervirens (Seaside Goldenrod)_pct,Solidago sempervirens (Seaside Goldenrod)_conf,Distichlis spicata (Salt Grass)_pct,Distichlis spicata (Salt Grass)_conf,Limonium carolinianum (Sea Lavender)_pct,Limonium carolinianum (Sea Lavender)_conf,Symphyotrichum tenuifolium (Salt Marsh Aster)_pct,Symphyotrichum tenuifolium (Salt Marsh Aster)_conf,Atriplex patula (Marsh Orach)_pct,Atriplex patula (Marsh Orach)_conf,Phragmites australis (Phragmites or Reed Grass)_pct,Phragmites australis (Phragmites or Reed Grass)_conf,Baccharis halimifolia (Groundsel Tree)_pct,Baccharis halimifolia (Groundsel Tree)_conf,Dead Organic Matter_pct,Dead Organic Matter_conf,Bare Ground_pct,Bare Ground_conf,Oysters_ct,Oysters_conf,Mussels_ct,Mussels_conf,Crab Burrows_ct,Crab Burrows_conf,Periwinkles_ct,Periwinkles_conf,Total_Confidence,Notes
0,0,80,60,75,0,50,0,50,0,50,20,60,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,80,0,80,15,70,5,70,0,90,0,90,0,80,0,90,68,"A large tussock-forming, wiry clump (likely Juncus roemerianus) occupies the majority of the quadrat; remaining green wiry/matted grass interpreted as Spartina patens. Some dead old material around the base and a small bare area are visible. No shell counts or clear crab burrows observed."
0,0,85,0,85,0,85,0,90,0,90,75,90,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,15,70,10,65,0,95,0,95,0,95,0,95,75,"Quadrat dominated by a fine, wiry, matted tussock consistent with Spartina patens (~75%). Central dark area and exposed tussock base counted as bare ground (~10%) and dead organic material from dried blades/roots (~15%). No oysters, mussels, periwinkles, or obvious crab burrows visible. Confidence high for S. patens ID due to blade texture and hummock form; moderate for exact area estimates."
0,0,80,0,60,0,60,0,60,0,60,65,80,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,70,0,60,30,75,5,65,0,80,0,80,1,60,0,80,70,"Quadrat is dominated by fine, wiry, matted grass consistent with Spartina patens. Much of the visible material is dead thatch (tan blades) so Dead Organic Matter assigned 30%. Small dark hole near center inferred as one crab burrow. No obvious oysters/mussels/periwinkles. Confidence moderate-high overall."
CS01_LOW1_21JULY2022.JPG,65,70,0,90,0,90,0,90,0,90,0,80,0,85,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,10,80,25,90,0,95,0,95,0,70,0,95,75,"Quadrat dominated by broad, upright cordgrass blades consistent with Spartina alterniflora; visible mud and some dried leaf material account for bare ground and dead organic matter. No other species or shell/ snail aggregations clearly visible."
CS06_LOW1_21JULY2022.JPG,25,80,0,95,0,95,0,90,0,90,5,60,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,15,80,55,90,0,95,0,95,1,60,20,70,75,"Dominated by upright, thicker-bladed Spartina alterniflora with a few finer blades possibly S. patens. Large areas of exposed mud and some dried stems. Numerous small snail shells (periwinkles) on bare ground; few visible burrows. Context image used to confirm stem form and quadrat boundaries."
CS05_HIGH0_13MAY2022.JPG,0,85,0,85,0,90,0,90,0,90,55,80,0,90,0,95,0,95,0,95,0,95,0,95,0,85,0,95,0,95,0,95,0,95,0,95,30,70,15,70,0,95,0,95,2,70,1,60,70,"Quadrat dominated by fine, wiry, matted grass consistent with Spartina patens (majority live blades mixed with many dead gray stems). Noticeable dead organic material interwoven through live grass. Mud/bare ground visible in central holes. I counted two likely crab burrow openings and one small periwinkle shell on vegetation. No oysters or mussels observed. Confidence moderate overall due to heavy overlapping dead stems and some obscured ground."
CS06_HIGH1_21JULY2022.JPG,5,40,0,90,0,90,0,90,0,90,60,80,0,90,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,30,70,5,60,0,95,0,95,1,60,0,95,70,"Quadrat dominated by fine, wiry, light-green matted stems consistent with Spartina patens. Small amount (~5%) of a few thicker upright blades possibly S. alterniflora. Large proportion of brown matted dead stems counted as Dead Organic Matter. One dark burrow-like opening visible. Estimates use only cropped image; context used for ID."
CS06_HIGH1_21JULY2022.JPG,0,50,0,50,0,50,0,50,0,50,70,80,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,25,80,5,60,0,60,0,60,1,70,0,60,75,"Quadrat dominated by fine, wiry, matted blades consistent with Spartina patens; substantial dead thatch present. One dark burrow/hole visible near upper-right of the quadrat. No conspicuous upright tall Spartina alterniflora, succulents, or shell aggregations observed."
CS06_HIGH1_21JULY2022.JPG,0,95,0,95,0,95,0,95,0,95,70,85,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,30,80,0,90,0,95,0,95,0,95,0,95,85,"Cropped image shows fine, wiry, matted grass blades consistent with Spartina patens dominating; considerable dead thatch (brown stems) visible. No other species or shell/ burrow features seen."
CS06_HIGH0_21JULY2022.JPG,5,35,0,90,0,90,0,95,0,95,65,80,0,95,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,20,75,10,70,0,95,0,95,1,40,0,95,70,"Quadrat dominated by fine, wiry, matted grass consistent with Spartina patens. Small amount of dead thatch and visible bare soil patches. A single small hole that may be a crab burrow is visible. No other identifiable species or shellfish present in the cropped area."
