site,Spartina alterniflora (Smooth Cordgrass)_pct,Spartina alterniflora (Smooth Cordgrass)_conf,Juncus roemerianus (Black Needle Rush)_pct,Juncus roemerianus (Black Needle Rush)_conf,Bolboschoenus robustus (Salt Marsh Bulrush)_pct,Bolboschoenus robustus (Salt Marsh Bulrush)_conf,Iva frutescens (Marsh Elder)_pct,Iva frutescens (Marsh Elder)_conf,Panicum virgatum (Switch Grass)_pct,Panicum virgatum (Switch Grass)_conf,Spartina patens (Salt Meadow Hay)_pct,Spartina patens (Salt Meadow Hay)_conf,Spartina cynosuroides (Big Cordgrass)_pct,Spartina cynosuroides (Big Cordgrass)_conf,Borrichia frutescens (Sea Oxeye)_pct,Borrichia frutescens (Sea Oxeye)_conf,Salicornia spp. (Glasswort)_pct,Salicornia spp. (Glasswort)_conf,Kosteletzkya virginica (Marsh Mallow)_pct,Kosteletzkya virginica (Marsh Mallow)_conf,Hibiscus moscheutos (Marsh Hibiscus)_pct,Hibiscus moscheutos (Marsh Hibiscus)_conf,Solidago sempervirens (Seaside Goldenrod)_pct,Solidago sempervirens (Seaside Goldenrod)_conf,Distichlis spicata (Salt Grass)_pct,Distichlis spicata (Salt Grass)_conf,Limonium carolinianum (Sea Lavender)_pct,Limonium carolinianum (Sea Lavender)_conf,Symphyotrichum tenuifolium (Salt Marsh Aster)_pct,Symphyotrichum tenuifolium (Salt Marsh Aster)_conf,Atriplex patula (Marsh Orach)_pct,Atriplex patula (Marsh Orach)_conf,Phragmites australis (Phragmites or Reed Grass)_pct,Phragmites australis (Phragmites or Reed Grass)_conf,Baccharis halimifolia (Groundsel Tree)_pct,Baccharis halimifolia (Groundsel Tree)_conf,Dead Organic Matter_pct,Dead Organic Matter_conf,Bare Ground_pct,Bare Ground_conf,Oysters_ct,Oysters_conf,Mussels_ct,Mussels_conf,Crab Burrows_ct,Crab Burrows_conf,Periwinkles_ct,Periwinkles_conf,Total_Confidence,Notes
CS01_HIGH0_13MAY2022,0,70,0,80,0,80,0,85,0,85,65,80,0,85,0,90,0,90,0,90,0,90,0,90,10,60,0,90,0,90,0,90,0,90,0,90,15,70,10,75,,,,,,,,,70,"Tussocky, brown wiry thatch and tufted clumps dominate—consistent with Spartina patens. Scattered bright green, low blades interpreted as Distichlis. Exposed dark mud patches and some dead thatch present. No clear tall smooth cordgrass or reeds observed."
CS01_HIGH0_13MAY2022,5,40,0,85,0,85,0,90,0,90,65,80,0,85,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,95,15,70,15,75,,,,,,,,,70,"Tussocky, fine-textured dried and green blades dominate—consistent with Spartina patens (~65%). A few scattered broader green blades possibly S. alterniflora (~5%). Visible dark mud and litter account for bare ground and dead organic matter. Moderate uncertainty due to overlapping thatch and similar-looking grasses."
CS01_HIGH0_13MAY2022,0,90,5,60,0,90,0,90,0,90,55,75,0,90,0,90,0,90,0,90,0,90,0,90,10,60,0,90,0,90,0,90,0,90,0,90,10,70,20,80,,,,,,,,,70,Quadrat dominated by brown tufted salt meadow hay (Spartina patens) with scattered narrow green blades likely Distichlis. Some small possible Juncus stems. Visible bare mud patches and about 10% dead thatch.
CS01_HIGH1_13MAY2022_red_cropped,0,85,0,90,0,90,0,90,0,90,85,80,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,95,0,90,10,70,5,60,,,,,,,,,80,"Quadrat dominated by fine, wiry, tufted grass consistent with Spartina patens; visible standing senescent material (dead stems/leaves) and small patches of dark bare substrate. No distinct taller cordgrass, rushes, or forb species observed."
CS01_HIGH1_13MAY2022_red_cropped,0,80,0,85,0,90,0,90,0,90,80,85,0,90,0,90,0,90,0,90,0,90,0,90,0,70,0,90,0,90,0,90,0,95,0,95,15,80,5,60,,,,,,,,,80,"Tightly tangled, fine, wiry tufted grass dominates (characteristic of Spartina patens). No tall smooth cordgrass, rushes, or broad-stemmed species visible. Noticeable dead thatch and small exposed dark mud gaps."
CS01_HIGH0_21JULY2022_red2_cropped,0,90,0,90,0,90,0,90,0,90,75,70,0,85,0,95,0,95,0,95,0,95,0,95,5,40,0,95,0,95,0,95,0,95,0,95,12,60,8,60,,,,,,,,,60,"Tussock-forming clump with many fine, flat, arching blades consistent with a salt‑hay (Spartina patens) dominated patch. No obvious succulents, flowers, or tall reed stands visible. Moderate confidence because S. cynosuroides or other tussock grasses can appear similar at this angle/season."
CS01_HIGH0_21JULY2022_red2_cropped,0,90,0,85,0,90,0,95,0,95,85,65,0,95,0,95,0,95,0,95,0,95,0,95,5,30,0,95,0,95,0,95,0,95,0,95,10,75,0,60,,,,,,,,,60,"Tufted, fine-bladed clumps consistent with Spartina patens dominate the quadrat (~85%). Small amounts of litter/dead material (~10%) and a few narrow grassy leaves that may be Distichlis (~5%). Other taxa not visible."
CS01_HIGH0_21JULY2022_red2_cropped,0,90,0,95,0,95,0,95,0,95,90,65,0,95,0,95,0,95,0,95,0,95,0,95,0,90,0,95,0,95,0,95,0,95,0,95,8,70,2,85,0,95,0,95,0,90,0,95,65,"Image dominated by a dense tufted, fine-leaved salt-marsh grass strongly resembling Spartina patens; small amount of brown thatch (DOM) and minimal exposed soil; no other species or fauna visible."
CS01_HIGH0_21JULY2022_red2_cropped,0,80,0,80,0,80,0,80,0,80,75,60,0,80,0,80,0,85,0,85,0,85,0,85,0,80,0,85,0,85,0,85,0,90,0,90,10,70,15,80,0,90,0,90,0,90,0,90,60,"Tussock-forming, fine arching blades dominate the quadrat consistent with Spartina patens; visible dark soil/old stems counted as DOM and exposed mud as bare ground. No oysters, mussels, periwinkles, or crab burrows visible."
MM1_HIGH0_18JULY2022_cropped,0,80,0,85,0,85,0,90,0,90,80,70,0,90,0,90,0,90,0,90,0,90,0,90,0,70,0,90,0,90,0,90,0,90,0,90,18,60,2,50,0,85,0,85,0,80,0,85,65,"Dense, wiry tufted grass consistent with Spartina patens ~80%; underlying brown dead thatch ~18% and small exposed soil ~2%. No shells, burrows, or visible periwinkles detected."
